ordernumber,productline,quantityordered,dealsize,priceeach,sales,msrp,expsales,profit_loss,orderlinenumber,status,monthordered,dayordered,yearorders,qtr_id,productcode,customername,contactnames,phone,addressline1,city,country
10324,Classic Cars,27,Small,54.33,1466.91,151,4077,-2610.09,1,Shipped,November,5,2004,4,S12_3148,Vitachrome Inc.,Michael Frick,2125551500,2678 Kingston Rd.,NYC,USA
10336,Classic Cars,33,Medium,100,3300,151,4983,-1683,11,Shipped,November,20,2004,4,S12_3148,"La Corne D'abondance, Co.",Marie Bertrand,(1) 42.34.2555,"265, boulevard Charonne",Paris,France
10348,Classic Cars,47,Medium,100,4700,151,7097,-2397,4,Shipped,November,1,2004,4,S12_3148,"Corrida Auto Replicas, Ltd",Mart¡n Sommer,(91) 555 22 82,"C/ Araquil, 67",Madrid,Spain
10358,Classic Cars,49,Small,55.34,2711.66,151,7399,-4687.34,5,Shipped,December,10,2004,4,S12_3148,Euro Shopping Channel,Diego Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain
10372,Classic Cars,40,Medium,100,4000,151,6040,-2040,4,Shipped,January,26,2005,1,S12_3148,"Tokyo Collectables, Ltd",Akiko Shimamura,+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Japan
10382,Classic Cars,37,Medium,100,3700,151,5587,-1887,11,Shipped,February,17,2005,1,S12_3148,Mini Gifts Distributors Ltd.,Valarie Nelson,4155551450,5677 Strong St.,San Rafael,USA
10413,Classic Cars,47,Large,100,4700,151,7097,-2397,3,Shipped,May,5,2005,2,S12_3148,Gift Depot Inc.,Julie King,2035552570,25593 South Bay Ln.,Bridgewater,USA
10108,Classic Cars,45,Medium,100,4500,117,5265,-765,4,Shipped,March,3,2003,1,S12_3380,Cruz & Sons Co.,Arnold Cruz,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,Philippines
10122,Classic Cars,37,Medium,99.82,3693.34,117,4329,-635.66,8,Shipped,May,8,2003,2,S12_3380,Marseille Mini Autos,Laurence Lebihan,91.24.4555,"12, rue des Bouchers",Marseille,France
10135,Classic Cars,48,Medium,100,4800,117,5616,-816,5,Shipped,July,2,2003,3,S12_3380,Mini Gifts Distributors Ltd.,Valarie Nelson,4155551450,5677 Strong St.,San Rafael,USA
10147,Classic Cars,31,Medium,100,3100,117,3627,-527,5,Shipped,September,5,2003,3,S12_3380,Collectables For Less Inc.,Allen Nelson,6175558555,7825 Douglas Av.,Brickhaven,USA
10160,Classic Cars,46,Medium,100,4600,117,5382,-782,6,Shipped,October,11,2003,4,S12_3380,"Men 'R' US Retailers, Ltd.",Michael Chandler,2155554369,6047 Douglas Av.,Los Angeles,USA
10170,Classic Cars,47,Medium,100,4700,117,5499,-799,4,Shipped,November,4,2003,4,S12_3380,Mini Auto Werke,Roland Mendel,7675-3555,Kirchgasse 6,Graz,Austria
10181,Classic Cars,28,Small,100,2800,117,3276,-476,12,Shipped,November,12,2003,4,S12_3380,Herkku Gifts,Veysel Oeztan,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,Norway
10191,Classic Cars,40,Medium,100,4000,117,4680,-680,1,Shipped,November,20,2003,4,S12_3380,"Toms Spezialitten, Ltd",Henriette Pfalzheim,0221-5554327,Mehrheimerstr. 369,Koln,Germany
10203,Classic Cars,20,Small,100,2000,117,2340,-340,6,Shipped,December,2,2003,4,S12_3380,Euro Shopping Channel,Diego Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain
10212,Classic Cars,39,Medium,100,3900,117,4563,-663,16,Shipped,January,16,2004,1,S12_3380,Euro Shopping Channel,Diego Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain
10225,Classic Cars,25,Small,99.82,2495.5,117,2925,-429.5,7,Shipped,February,22,2004,1,S12_3380,"Vida Sport, Ltd",Michael Holz,0897-034555,Grenzacherweg 237,Gensve,Switzerland
10238,Classic Cars,29,Medium,100,2900,117,3393,-493,1,Shipped,April,9,2004,2,S12_3380,Danish Wholesale Imports,Jytte Petersen,31 12 3555,Vinb'ltet 34,Kobenhavn,Denmark
10253,Classic Cars,22,Small,100,2200,117,2574,-374,11,Cancelled,June,1,2004,2,S12_3380,"UK Collectables, Ltd.",Elizabeth Devon,(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,UK
10266,Classic Cars,22,Small,100,2200,117,2574,-374,12,Shipped,July,6,2004,3,S12_3380,L'ordine Souveniers,Maurizio Moroni,0522-556555,Strada Provinciale 124,Reggio Emilia,Italy
10276,Classic Cars,47,Medium,100,4700,117,5499,-799,1,Shipped,August,2,2004,3,S12_3380,Online Mini Collectables,Miguel Barajas,6175557555,7635 Spinnaker Dr.,Brickhaven,USA
10287,Classic Cars,45,Medium,100,4500,117,5265,-765,10,Shipped,August,30,2004,3,S12_3380,"Vida Sport, Ltd",Michael Holz,0897-034555,Grenzacherweg 237,Gensve,Switzerland
10300,Classic Cars,29,Medium,100,2900,117,3393,-493,3,Shipped,October,4,2003,4,S12_3380,"Blauer See Auto, Co.",Roland Keitel,+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,Germany
10310,Classic Cars,24,Medium,100,2400,117,2808,-408,8,Shipped,October,16,2004,4,S12_3380,"Toms Spezialitten, Ltd",Henriette Pfalzheim,0221-5554327,Mehrheimerstr. 369,Koln,Germany
10320,Classic Cars,35,Medium,100,3500,117,4095,-595,1,Shipped,November,3,2004,4,S12_3380,"Volvo Model Replicas, Co",Christina Berglund,0921-12 3555,Berguvsv„gen  8,Lule,Sweden
10329,Classic Cars,46,Medium,83.63,3846.98,117,5382,-1535.02,13,Shipped,November,15,2004,4,S12_3380,Land of Toys Inc.,Kwai Yu,2125557818,897 Long Airport Avenue,NYC,USA
10341,Classic Cars,44,Medium,95.93,4220.92,117,5148,-927.08,1,Shipped,November,24,2004,4,S12_3380,Salzburg Collectables,Georg Pipps,6562-9555,Geislweg 14,Salzburg,Austria
10363,Classic Cars,34,Medium,96.73,3288.82,117,3978,-689.18,4,Shipped,January,6,2005,1,S12_3380,Suominen Souveniers,Kalle Suominen,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,Finland
10376,Classic Cars,35,Medium,100,3500,117,4095,-595,1,Shipped,February,8,2005,1,S12_3380,Boards & Toys Co.,Leslie Young,3105552373,4097 Douglas Av.,Glendale,USA
10389,Classic Cars,25,Small,72.38,1809.5,117,2925,-1115.5,6,Shipped,March,3,2005,1,S12_3380,Scandinavian Gift Ideas,Maria Larsson,0695-34 6555,?kergatan 24,Boras,Sweden
10419,Classic Cars,10,Small,100,1000,117,1170,-170,11,Shipped,May,17,2005,2,S12_3380,Salzburg Collectables,Georg Pipps,6562-9555,Geislweg 14,Salzburg,Austria
10105,Classic Cars,29,Medium,100,2900,173,5017,-2117,14,Shipped,February,11,2003,1,S12_3891,Danish Wholesale Imports,Jytte Petersen,31 12 3555,Vinb'ltet 34,Kobenhavn,Denmark
10117,Classic Cars,39,Medium,100,3900,173,6747,-2847,8,Shipped,April,16,2003,2,S12_3891,"Dragon Souveniers, Ltd.",Eric Natividad,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore
10127,Classic Cars,42,Large,100,4200,173,7266,-3066,1,Shipped,June,3,2003,2,S12_3891,Muscle Machine Inc,Jeff Young,2125557413,4092 Furth Circle,NYC,USA
10142,Classic Cars,46,Large,100,4600,173,7958,-3358,11,Shipped,August,8,2003,3,S12_3891,Mini Gifts Distributors Ltd.,Valarie Nelson,4155551450,5677 Strong St.,San Rafael,USA
10153,Classic Cars,49,Large,100,4900,173,8477,-3577,10,Shipped,September,28,2003,3,S12_3891,Euro Shopping Channel,Diego Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain
10165,Classic Cars,27,Medium,100,2700,173,4671,-1971,2,Shipped,October,22,2003,4,S12_3891,"Dragon Souveniers, Ltd.",Eric Natividad,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore
10176,Classic Cars,50,Large,100,5000,173,8650,-3650,1,Shipped,November,6,2003,4,S12_3891,L'ordine Souveniers,Maurizio Moroni,0522-556555,Strada Provinciale 124,Reggio Emilia,Italy
10185,Classic Cars,43,Large,100,4300,173,7439,-3139,12,Shipped,November,14,2003,4,S12_3891,Mini Creations Ltd.,Wing C Tam,5085559555,4575 Hillside Dr.,New Bedford,USA
10196,Classic Cars,38,Large,100,3800,173,6574,-2774,4,Shipped,November,26,2003,4,S12_3891,Super Scale Inc.,Leslie Murphy,2035559545,567 North Pendale Street,New Haven,USA
10208,Classic Cars,20,Medium,100,2000,173,3460,-1460,12,Shipped,January,2,2004,1,S12_3891,"Saveley & Henriot, Co.",Mary Saveley,78.32.5555,"2, rue du Commerce",Lyon,France
10220,Classic Cars,27,Medium,100,2700,173,4671,-1971,1,Shipped,February,12,2004,1,S12_3891,"Clover Collections, Co.",Dean Cassidy,+353 1862 1555,25 Maiden Lane,Dublin,Ireland
10231,Classic Cars,49,Medium,100,4900,173,8477,-3577,1,Shipped,March,19,2004,1,S12_3891,CAF Imports,Jesus Fernandez,+34 913 728 555,"Merchants House, 27-30 Merchant's Quay",Madrid,Spain
10247,Classic Cars,27,Medium,100,2700,173,4671,-1971,1,Shipped,May,5,2004,2,S12_3891,Suominen Souveniers,Kalle Suominen,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,Finland
10272,Classic Cars,39,Large,100,3900,173,6747,-2847,1,Shipped,July,20,2004,3,S12_3891,Diecast Classics Inc.,Kyung Yu,2155551555,7586 Pompton St.,Allentown,USA
10282,Classic Cars,24,Medium,100,2400,173,4152,-1752,4,Shipped,August,20,2004,3,S12_3891,Mini Gifts Distributors Ltd.,Valarie Nelson,4155551450,5677 Strong St.,San Rafael,USA
10293,Classic Cars,45,Large,100,4500,173,7785,-3285,7,Shipped,September,9,2004,3,S12_3891,Amica Models & Co.,Paolo Accorti,011-4988555,Via Monte Bianco 34,Torino,Italy
10306,Classic Cars,20,Medium,100,2000,173,3460,-1460,12,Shipped,October,14,2004,4,S12_3891,"AV Stores, Co.",Victoria Ashworth,(171) 555-1555,Fauntleroy Circus,Manchester,UK
10314,Classic Cars,36,Medium,100,3600,173,6228,-2628,4,Shipped,October,22,2004,4,S12_3891,Heintze Collectables,Palle Ibsen,86 21 3555,Smagsloget 45,Aaarhus,Denmark
10325,Classic Cars,24,Small,100,2400,173,4152,-1752,1,Shipped,November,5,2004,4,S12_3891,Baane Mini Imports,Jonas Bergulfsen,07-98 9555,Erling Skakkes gate 78,Stavern,Norway
10336,Classic Cars,49,Medium,63.38,3105.62,173,8477,-5371.38,1,Shipped,November,20,2004,4,S12_3891,"La Corne D'abondance, Co.",Marie Bertrand,(1) 42.34.2555,"265, boulevard Charonne",Paris,France
10349,Classic Cars,26,Medium,100,2600,173,4498,-1898,10,Shipped,December,1,2004,4,S12_3891,Muscle Machine Inc,Jeff Young,2125557413,4092 Furth Circle,NYC,USA
10359,Classic Cars,49,Medium,62.09,3042.41,173,8477,-5434.59,5,Shipped,December,15,2004,4,S12_3891,Reims Collectables,Paul Henriot,26.47.1555,59 rue de l'Abbaye,Reims,France
10372,Classic Cars,34,Medium,100,3400,173,5882,-2482,1,Shipped,January,26,2005,1,S12_3891,"Tokyo Collectables, Ltd",Akiko Shimamura,+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Japan
10382,Classic Cars,34,Medium,95.35,3241.9,173,5882,-2640.1,12,Shipped,February,17,2005,1,S12_3891,Mini Gifts Distributors Ltd.,Valarie Nelson,4155551450,5677 Strong St.,San Rafael,USA
10396,Classic Cars,33,Medium,100,3300,173,5709,-2409,3,Shipped,March,23,2005,1,S12_3891,Mini Gifts Distributors Ltd.,Valarie Nelson,4155551450,5677 Strong St.,San Rafael,USA
10413,Classic Cars,22,Medium,100,2200,173,3806,-1606,1,Shipped,May,5,2005,2,S12_3891,Gift Depot Inc.,Julie King,2035552570,25593 South Bay Ln.,Bridgewater,USA
10108,Classic Cars,39,Medium,89.38,3485.82,79,3081,404.82,7,Shipped,March,3,2003,1,S12_3990,Cruz & Sons Co.,Arnold Cruz,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,Philippines
10122,Classic Cars,32,Small,63.84,2042.88,79,2528,-485.12,11,Shipped,May,8,2003,2,S12_3990,Marseille Mini Autos,Laurence Lebihan,91.24.4555,"12, rue des Bouchers",Marseille,France
10135,Classic Cars,24,Small,75.01,1800.24,79,1896,-95.76,8,Shipped,July,2,2003,3,S12_3990,Mini Gifts Distributors Ltd.,Valarie Nelson,4155551450,5677 Strong St.,San Rafael,USA
10147,Classic Cars,21,Small,63.84,1340.64,79,1659,-318.36,8,Shipped,September,5,2003,3,S12_3990,Collectables For Less Inc.,Allen Nelson,6175558555,7825 Douglas Av.,Brickhaven,USA
10159,Classic Cars,24,Small,73.42,1762.08,79,1896,-133.92,3,Shipped,October,10,2003,4,S12_3990,Corporate Gift Ideas Co.,Julie Brown,6505551386,7734 Strong St.,San Francisco,USA
10169,Classic Cars,36,Small,63.84,2298.24,79,2844,-545.76,3,Shipped,November,4,2003,4,S12_3990,"Anna's Decorations, Ltd",Anna O'Hara,02 9936 8555,201 Miller Street,North Sydney,Australia
10181,Classic Cars,20,Small,81.4,1628,79,1580,48,15,Shipped,November,12,2003,4,S12_3990,Herkku Gifts,Veysel Oeztan,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,Norway
10191,Classic Cars,30,Small,64.64,1939.2,79,2370,-430.8,4,Shipped,November,20,2003,4,S12_3990,"Toms Spezialitten, Ltd",Henriette Pfalzheim,0221-5554327,Mehrheimerstr. 369,Koln,Germany
10203,Classic Cars,44,Medium,82.99,3651.56,79,3476,175.56,9,Shipped,December,2,2003,4,S12_3990,Euro Shopping Channel,Diego Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain
10211,Classic Cars,28,Small,92.57,2591.96,79,2212,379.96,3,Shipped,January,15,2004,1,S12_3990,Auto Canal Petit,Dominique Perrier,(1) 47.55.6555,"25, rue Lauriston",Paris,France
10225,Classic Cars,37,Small,77.41,2864.17,79,2923,-58.83,10,Shipped,February,22,2004,1,S12_3990,"Vida Sport, Ltd",Michael Holz,0897-034555,Grenzacherweg 237,Gensve,Switzerland
10238,Classic Cars,20,Small,74.21,1484.2,79,1580,-95.8,4,Shipped,April,9,2004,2,S12_3990,Danish Wholesale Imports,Jytte Petersen,31 12 3555,Vinb'ltet 34,Kobenhavn,Denmark
10253,Classic Cars,25,Small,90.17,2254.25,79,1975,279.25,14,Cancelled,June,1,2004,2,S12_3990,"UK Collectables, Ltd.",Elizabeth Devon,(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,UK
10266,Classic Cars,35,Small,76.61,2681.35,79,2765,-83.65,15,Shipped,July,6,2004,3,S12_3990,L'ordine Souveniers,Maurizio Moroni,0522-556555,Strada Provinciale 124,Reggio Emilia,Italy
10276,Classic Cars,38,Medium,83.79,3184.02,79,3002,182.02,4,Shipped,August,2,2004,3,S12_3990,Online Mini Collectables,Miguel Barajas,6175557555,7635 Spinnaker Dr.,Brickhaven,USA
10287,Classic Cars,41,Small,69.43,2846.63,79,3239,-392.37,13,Shipped,August,30,2004,3,S12_3990,"Vida Sport, Ltd",Michael Holz,0897-034555,Grenzacherweg 237,Gensve,Switzerland
10300,Classic Cars,22,Small,76.61,1685.42,79,1738,-52.58,6,Shipped,October,4,2003,4,S12_3990,"Blauer See Auto, Co.",Roland Keitel,+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,Germany
10310,Classic Cars,49,Medium,81.4,3988.6,79,3871,117.6,11,Shipped,October,16,2004,4,S12_3990,"Toms Spezialitten, Ltd",Henriette Pfalzheim,0221-5554327,Mehrheimerstr. 369,Koln,Germany
10320,Classic Cars,38,Small,73.42,2789.96,79,3002,-212.04,4,Shipped,November,3,2004,4,S12_3990,"Volvo Model Replicas, Co",Christina Berglund,0921-12 3555,Berguvsv„gen  8,Lule,Sweden
10329,Classic Cars,33,Medium,100,3300,79,2607,693,14,Shipped,November,15,2004,4,S12_3990,Land of Toys Inc.,Kwai Yu,2125557818,897 Long Airport Avenue,NYC,USA
10341,Classic Cars,36,Medium,93.56,3368.16,79,2844,524.16,10,Shipped,November,24,2004,4,S12_3990,Salzburg Collectables,Georg Pipps,6562-9555,Geislweg 14,Salzburg,Austria
10363,Classic Cars,34,Small,81.62,2775.08,79,2686,89.08,5,Shipped,January,6,2005,1,S12_3990,Suominen Souveniers,Kalle Suominen,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,Finland
10377,Classic Cars,24,Small,67.83,1627.92,79,1896,-268.08,5,Shipped,February,9,2005,1,S12_3990,"Toys of Finland, Co.",Matti Karttunen,90-224 8555,Keskuskatu 45,Helsinki,Finland
10389,Classic Cars,36,Small,70.26,2529.36,79,2844,-314.64,7,Shipped,March,3,2005,1,S12_3990,Scandinavian Gift Ideas,Maria Larsson,0695-34 6555,?kergatan 24,Boras,Sweden
10419,Classic Cars,34,Medium,90.17,3065.78,79,2686,379.78,14,Shipped,May,17,2005,2,S12_3990,Salzburg Collectables,Georg Pipps,6562-9555,Geislweg 14,Salzburg,Austria
10104,Trucks and Buses,41,Medium,100,4100,118,4838,-738,9,Shipped,January,31,2003,1,S12_4473,Euro Shopping Channel,Diego Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain
10115,Trucks and Buses,46,Medium,100,4600,118,5428,-828,5,Shipped,April,4,2003,2,S12_4473,Classic Legends Inc.,Maria Hernandez,2125558493,5905 Pompton St.,NYC,USA
10127,Trucks and Buses,24,Small,100,2400,118,2832,-432,11,Shipped,June,3,2003,2,S12_4473,Muscle Machine Inc,Jeff Young,2125557413,4092 Furth Circle,NYC,USA
10141,Trucks and Buses,21,Small,100,2100,118,2478,-378,5,Shipped,August,1,2003,3,S12_4473,Suominen Souveniers,Kalle Suominen,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,Finland
10151,Trucks and Buses,24,Medium,100,2400,118,2832,-432,3,Shipped,September,21,2003,3,S12_4473,"Oulu Toy Supplies, Inc.",Pirkko Koskitalo,981-443655,Torikatu 38,Oulu,Finland
10165,Trucks and Buses,48,Medium,100,4800,118,5664,-864,12,Shipped,October,22,2003,4,S12_4473,"Dragon Souveniers, Ltd.",Eric Natividad,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore
10175,Trucks and Buses,26,Medium,100,2600,118,3068,-468,1,Shipped,November,6,2003,4,S12_4473,"Stylish Desk Decors, Co.",Ann Brown,(171) 555-0297,35 King George,London,UK
10184,Trucks and Buses,37,Medium,100,3700,118,4366,-666,6,Shipped,November,14,2003,4,S12_4473,"Iberia Gift Imports, Corp.",Jose Pedro Roel,(95) 555 82 82,"C/ Romero, 33",Sevilla,Spain
10195,Trucks and Buses,49,Medium,100,4900,118,5782,-882,6,Shipped,November,25,2003,4,S12_4473,Mini Classics,Steve Frick,9145554562,3758 North Pendale Street,White Plains,USA
10207,Trucks and Buses,34,Medium,99.54,3384.36,118,4012,-627.64,7,Shipped,December,9,2003,4,S12_4473,Diecast Collectables,Valarie Franco,6175552555,6251 Ingle Ln.,Boston,USA
10219,Trucks and Buses,48,Medium,100,4800,118,5664,-864,2,Shipped,February,10,2004,1,S12_4473,Signal Collectibles Ltd.,Sue Taylor,4155554312,2793 Furth Circle,Brisbane,USA
10229,Trucks and Buses,36,Medium,100,3600,118,4248,-648,1,Shipped,March,11,2004,1,S12_4473,Mini Gifts Distributors Ltd.,Valarie Nelson,4155551450,5677 Strong St.,San Rafael,USA
10246,Trucks and Buses,46,Medium,100,4600,118,5428,-828,5,Shipped,May,5,2004,2,S12_4473,Euro Shopping Channel,Diego Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain
10259,Trucks and Buses,46,Medium,100,4600,118,5428,-828,4,Shipped,June,15,2004,2,S12_4473,Handji Gifts& Co,Wendy Victorino,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,Singapore
10271,Trucks and Buses,31,Medium,97.17,3012.27,118,3658,-645.73,5,Shipped,July,20,2004,3,S12_4473,Mini Gifts Distributors Ltd.,Valarie Nelson,4155551450,5677 Strong St.,San Rafael,USA
10281,Trucks and Buses,41,Medium,100,4100,118,4838,-738,1,Shipped,August,19,2004,3,S12_4473,Diecast Classics Inc.,Kyung Yu,2155551555,7586 Pompton St.,Allentown,USA
10292,Trucks and Buses,21,Small,100,2100,118,2478,-378,8,Shipped,September,8,2004,3,S12_4473,Land of Toys Inc.,Kwai Yu,2125557818,897 Long Airport Avenue,NYC,USA
10305,Trucks and Buses,38,Medium,100,3800,118,4484,-684,5,Shipped,October,13,2004,4,S12_4473,Marta's Replicas Co.,Marta Hernandez,6175558555,39323 Spinnaker Dr.,Cambridge,USA
10314,Trucks and Buses,45,Medium,100,4500,118,5310,-810,14,Shipped,October,22,2004,4,S12_4473,Heintze Collectables,Palle Ibsen,86 21 3555,Smagsloget 45,Aaarhus,Denmark
10324,Trucks and Buses,26,Small,58.38,1517.88,118,3068,-1550.12,7,Shipped,November,5,2004,4,S12_4473,Vitachrome Inc.,Michael Frick,2125551500,2678 Kingston Rd.,NYC,USA
10336,Trucks and Buses,38,Medium,100,3800,118,4484,-684,3,Shipped,November,20,2004,4,S12_4473,"La Corne D'abondance, Co.",Marie Bertrand,(1) 42.34.2555,"265, boulevard Charonne",Paris,France
10349,Trucks and Buses,48,Medium,100,4800,118,5664,-864,9,Shipped,December,1,2004,4,S12_4473,Muscle Machine Inc,Jeff Young,2125557413,4092 Furth Circle,NYC,USA
10358,Trucks and Buses,42,Small,64.16,2694.72,118,4956,-2261.28,9,Shipped,December,10,2004,4,S12_4473,Euro Shopping Channel,Diego Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain
10371,Trucks and Buses,49,Small,35.71,1749.79,118,5782,-4032.21,4,Shipped,January,23,2005,1,S12_4473,Mini Gifts Distributors Ltd.,Valarie Nelson,4155551450,5677 Strong St.,San Rafael,USA
10382,Trucks and Buses,32,Small,66.58,2130.56,118,3776,-1645.44,13,Shipped,February,17,2005,1,S12_4473,Mini Gifts Distributors Ltd.,Valarie Nelson,4155551450,5677 Strong St.,San Rafael,USA
10412,Trucks and Buses,54,Medium,100,5400,118,6372,-972,5,Shipped,May,3,2005,2,S12_4473,Euro Shopping Channel,Diego Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain
10425,Trucks and Buses,33,Medium,100,3300,118,3894,-594,4,In Process,May,31,2005,2,S12_4473,La Rochelle Gifts,Janine Labrune,40.67.8555,"67, rue des Cinquante Otages",Nantes,France
10108,Classic Cars,36,Medium,100,3600,115,4140,-540,3,Shipped,March,3,2003,1,S12_4675,Cruz & Sons Co.,Arnold Cruz,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,Philippines
10122,Classic Cars,20,Small,100,2000,115,2300,-300,7,Shipped,May,8,2003,2,S12_4675,Marseille Mini Autos,Laurence Lebihan,91.24.4555,"12, rue des Bouchers",Marseille,France
10135,Classic Cars,29,Small,97.89,2838.81,115,3335,-496.19,4,Shipped,July,2,2003,3,S12_4675,Mini Gifts Distributors Ltd.,Valarie Nelson,4155551450,5677 Strong St.,San Rafael,USA
10147,Classic Cars,33,Medium,97.89,3230.37,115,3795,-564.63,4,Shipped,September,5,2003,3,S12_4675,Collectables For Less Inc.,Allen Nelson,6175558555,7825 Douglas Av.,Brickhaven,USA
10160,Classic Cars,50,Medium,100,5000,115,5750,-750,5,Shipped,October,11,2003,4,S12_4675,"Men 'R' US Retailers, Ltd.",Michael Chandler,2155554369,6047 Douglas Av.,Los Angeles,USA
10170,Classic Cars,41,Medium,100,4100,115,4715,-615,3,Shipped,November,4,2003,4,S12_4675,Mini Auto Werke,Roland Mendel,7675-3555,Kirchgasse 6,Graz,Austria
10181,Classic Cars,36,Medium,100,3600,115,4140,-540,11,Shipped,November,12,2003,4,S12_4675,Herkku Gifts,Veysel Oeztan,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,Norway
10192,Classic Cars,27,Medium,100,2700,115,3105,-405,16,Shipped,November,20,2003,4,S12_4675,Online Diecast Creations Co.,Valarie Young,6035558647,2304 Long Airport Avenue,Nashua,USA
10203,Classic Cars,47,Medium,100,4700,115,5405,-705,5,Shipped,December,2,2003,4,S12_4675,Euro Shopping Channel,Diego Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain
10212,Classic Cars,33,Medium,100,3300,115,3795,-495,15,Shipped,January,16,2004,1,S12_4675,Euro Shopping Channel,Diego Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain
10225,Classic Cars,21,Small,100,2100,115,2415,-315,6,Shipped,February,22,2004,1,S12_4675,"Vida Sport, Ltd",Michael Holz,0897-034555,Grenzacherweg 237,Gensve,Switzerland
10239,Classic Cars,21,Small,93.28,1958.88,115,2415,-456.12,5,Shipped,April,12,2004,2,S12_4675,"Oulu Toy Supplies, Inc.",Pirkko Koskitalo,981-443655,Torikatu 38,Oulu,Finland
10253,Classic Cars,41,Medium,100,4100,115,4715,-615,10,Cancelled,June,1,2004,2,S12_4675,"UK Collectables, Ltd.",Elizabeth Devon,(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,UK
10266,Classic Cars,40,Medium,100,4000,115,4600,-600,11,Shipped,July,6,2004,3,S12_4675,L'ordine Souveniers,Maurizio Moroni,0522-556555,Strada Provinciale 124,Reggio Emilia,Italy
10277,Classic Cars,28,Medium,100,2800,115,3220,-420,1,Shipped,August,4,2004,3,S12_4675,"Dragon Souveniers, Ltd.",Eric Natividad,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore
10287,Classic Cars,23,Small,100,2300,115,2645,-345,9,Shipped,August,30,2004,3,S12_4675,"Vida Sport, Ltd",Michael Holz,0897-034555,Grenzacherweg 237,Gensve,Switzerland
10300,Classic Cars,23,Small,100,2300,115,2645,-345,2,Shipped,October,4,2003,4,S12_4675,"Blauer See Auto, Co.",Roland Keitel,+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,Germany
10310,Classic Cars,25,Small,100,2500,115,2875,-375,7,Shipped,October,16,2004,4,S12_4675,"Toms Spezialitten, Ltd",Henriette Pfalzheim,0221-5554327,Mehrheimerstr. 369,Koln,Germany
10321,Classic Cars,24,Small,100,2400,115,2760,-360,15,Shipped,November,4,2004,4,S12_4675,FunGiftIdeas.com,Violeta Benitez,5085552555,1785 First Street,New Bedford,USA
10329,Classic Cars,39,Small,64.74,2524.86,115,4485,-1960.14,15,Shipped,November,15,2004,4,S12_4675,Land of Toys Inc.,Kwai Yu,2125557818,897 Long Airport Avenue,NYC,USA
10341,Classic Cars,55,Medium,75.2,4136,115,6325,-2189,7,Shipped,November,24,2004,4,S12_4675,Salzburg Collectables,Georg Pipps,6562-9555,Geislweg 14,Salzburg,Austria
10363,Classic Cars,46,Medium,88.45,4068.7,115,5290,-1221.3,6,Shipped,January,6,2005,1,S12_4675,Suominen Souveniers,Kalle Suominen,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,Finland
10377,Classic Cars,50,Medium,100,5000,115,5750,-750,1,Shipped,February,9,2005,1,S12_4675,"Toys of Finland, Co.",Matti Karttunen,90-224 8555,Keskuskatu 45,Helsinki,Finland
10389,Classic Cars,47,Medium,100,4700,115,5405,-705,8,Shipped,March,3,2005,1,S12_4675,Scandinavian Gift Ideas,Maria Larsson,0695-34 6555,?kergatan 24,Boras,Sweden
